,Title,Published_date,Views,Likes,Comments,Month
77,Why are APIs Important for Data Science?,2021-07-09,9544,447,95,Jul
78,Is Your Phone REALLY Listening to You?,2021-07-03,5143,278,116,Jul
79,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,14247,579,121,Jun
80,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4071,225,41,Jun
81,#66DaysOfData - What is it? #shorts,2021-06-11,8900,383,54,Jun
82,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16457,1005,89,Jun
83,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7407,392,195,May
84,How Data Science Projects Pay Off,2021-05-22,10475,591,146,May
85,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10472,485,134,May
86,What is a lambda function (python)? #shorts,2021-05-13,14695,914,49,May
87,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,26370,1414,59,May
88,What is Pandas? (Data & Data Science) #shorts,2021-04-30,22842,1161,87,Apr
89,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,75871,3389,281,Apr
90,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23322,688,85,Apr
91,Why You Probably Won't Become a Data Scientist,2021-04-09,136152,3997,480,Apr
92,How to Go From Data Analyst to Data Scientist,2021-04-02,52604,1507,173,Apr
93,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3953,138,92,Mar
94,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18108,350,108,Mar
95,My Regrets as a Data Science Student,2021-03-12,23749,877,112,Mar
96,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3815,196,83,Mar
97,What is the Future of my Comment Leaderboard Project?,2021-02-26,5550,201,81,Feb
98,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6565,173,51,Feb
99,Why I Quit Data Science,2021-02-12,104328,2341,348,Feb
100,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10560,548,116,Jan
101,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6984,295,126,Jan
102,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9412,298,52,Jan
103,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,21871,693,134,Jan
104,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,36455,1131,147,Jan
105,What is the #66DaysOfData?,2020-12-26,69050,2308,202,Dec
106,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131131,5973,488,Dec
107,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10750,395,133,Dec
108,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23317,723,326,Dec
109,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,26948,837,163,Nov
110,6 Lessons from #66DaysOfData,2020-11-13,6694,340,93,Nov
111,100K Channel Update + AMA Stream!,2020-11-12,2318,127,22,Nov
112,Find a Data Science Project With These 3 Techniques,2020-11-06,16557,719,106,Nov
113,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,26015,659,156,Oct
114,git for Data Science Made Simple... (Hopefully),2020-10-23,18616,847,92,Oct
115,The PODCAST you might have asked for?,2020-10-19,2101,94,44,Oct
116,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6672,446,113,Oct
117,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,13723,403,48,Oct
118,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6608,142,62,Oct
119,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,10819,550,83,Oct
120,Sh*t Data Scientists Say (Parody),2020-10-05,9384,575,143,Oct
121,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8573,366,93,Oct
122,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7048,289,61,Sep
123,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11384,289,69,Sep
124,5 Essential Data Science Projects for Your Portfolio,2020-09-26,71443,3067,208,Sep
125,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5162,196,64,Sep
126,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,10988,442,58,Sep
127,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7369,250,34,Sep
128,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5086,193,56,Sep
129,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4156,157,35,Sep
130,The 5 Pillars of Success I Live By,2020-09-11,10112,873,152,Sep
131,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1884,78,25,Sep
132,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3993,161,43,Sep
133,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11713,732,144,Sep
134,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17838,567,89,Sep
135,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,17573,786,93,Aug
136,Why I'm Starting Data Science Over Again.,2020-08-29,50655,2605,450,Aug
137,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14933,623,76,Aug
138,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12604,453,55,Aug
139,Don't Buy My Course..,2020-08-21,7325,357,146,Aug
140,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,28970,1109,166,Aug
141,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3210,128,40,Aug
142,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6283,535,108,Aug
143,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4923,184,39,Aug
144,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,11348,367,53,Aug
145,The Plagiarism Problem in Data Science,2020-08-07,13027,630,145,Aug
146,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14319,601,89,Aug
147,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4869,187,56,Aug
148,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11267,578,90,Jul
149,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2306,116,34,Jul
