,Channel_name,Subscribers,Views,Total_videos,playlist_id
0,Tina Huang,548000,23796879,125,UU2UXDak6o7rBm23k3Vv5dww
1,techTFQ,207000,10207520,89,UUnz-ZXXER4jOvuED5trXfEA
2,Alex The Analyst,497000,19772721,216,UU7cs8q-gJRlGwj4A8OmCmXg
3,Ken Jee,245000,8154487,276,UUiT9RITQ9PW6BhXK0y2jaeg
4,Luke Barousse,353000,16151815,135,UULLw7jmFsvfIVaUFsLs8mlQ
